nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
1,1,1,1,1,1.0,60,20.0,7.4,46310.0
2,1,1,1,1,1.0,60,23.0,7.02,41226.0
2,2,1,1,1,1.0,60,23.0,5.92,41807.0
1,1,2,1,1,1.0,60,20.0,6.41,46904.0
2,1,2,1,1,1.0,60,23.0,6.01,41557.0
2,2,2,1,1,1.0,60,24.0,4.23,40521.0
1,1,3,1,1,1.0,60,19.0,5.93,49765.0
2,1,3,1,1,1.0,60,23.0,6.59,41463.0
2,2,3,1,1,1.0,60,24.0,6.18,40115.0
1,1,4,1,1,1.0,60,19.0,5.76,49334.0
2,1,4,1,1,1.0,60,23.0,6.52,41334.0
2,2,4,1,1,1.0,60,23.0,7.45,40857.0
1,1,5,1,1,1.0,60,19.0,6.72,49020.0
2,1,5,1,1,1.0,60,23.0,6.06,41406.0
2,2,5,1,1,1.0,60,23.0,5.82,41712.0
1,1,6,1,1,1.0,60,20.0,6.77,46805.0
2,1,6,1,1,1.0,60,23.0,8.5,40517.0
2,2,6,1,1,1.0,60,23.0,6.88,41067.0
1,1,7,1,1,1.0,60,21.0,4.09,46253.0
2,1,7,1,1,1.0,60,24.0,5.66,39981.0
2,2,7,1,1,1.0,60,23.0,4.53,42180.0
1,1,8,1,1,1.0,60,20.0,4.83,47917.0
2,1,8,1,1,1.0,60,24.0,6.69,39507.0
2,2,8,1,1,1.0,60,22.0,7.65,42420.0
1,1,9,1,1,1.0,60,20.0,5.62,47366.0
2,1,9,1,1,1.0,60,23.0,7.08,41039.0
2,2,9,1,1,1.0,60,24.0,5.72,40276.0
1,1,10,1,1,1.0,60,21.0,6.87,44833.0
2,1,10,1,1,1.0,60,24.0,5.39,40128.0
2,2,10,1,1,1.0,60,23.0,5.25,41842.0
1,1,11,1,1,1.0,60,19.0,5.17,49790.0
2,1,11,1,1,1.0,60,25.0,6.0,38276.0
2,2,11,1,1,1.0,60,23.0,7.47,40804.0
1,1,12,1,1,1.0,60,20.0,5.62,47452.0
2,1,12,1,1,1.0,60,23.0,6.19,41397.0
2,2,12,1,1,1.0,60,24.0,4.93,40437.0
1,1,13,1,1,1.0,60,20.0,5.84,47444.0
2,1,13,1,1,1.0,60,23.0,6.16,41496.0
2,2,13,1,1,1.0,60,24.0,7.37,39210.0
1,1,14,1,1,1.0,60,20.0,5.72,47339.0
2,1,14,1,1,1.0,60,23.0,8.21,40638.0
2,2,14,1,1,1.0,60,23.0,7.94,40550.0
1,1,15,1,1,1.0,60,19.0,5.27,49829.0
2,1,15,1,1,1.0,60,23.0,7.38,40885.0
2,2,15,1,1,1.0,60,24.0,5.57,40203.0
1,1,16,1,1,1.0,60,19.0,5.96,49621.0
2,1,16,1,1,1.0,60,23.0,6.99,41114.0
2,2,16,1,1,1.0,60,24.0,4.63,40426.0
1,1,17,1,1,1.0,60,21.0,3.94,46261.0
2,1,17,1,1,1.0,60,24.0,5.06,40153.0
2,2,17,1,1,1.0,60,24.0,7.29,39415.0
1,1,18,1,1,1.0,60,20.0,6.49,47213.0
2,1,18,1,1,1.0,60,24.0,5.99,39740.0
2,2,18,1,1,1.0,60,23.0,5.96,41614.0
1,1,19,1,1,1.0,60,20.0,5.7,47387.0
2,1,19,1,1,1.0,60,25.0,6.33,38153.0
2,2,19,1,1,1.0,60,23.0,8.02,40517.0
1,1,20,1,1,1.0,60,21.0,5.29,45659.0
2,1,20,1,1,1.0,60,23.0,7.59,40801.0
2,2,20,1,1,1.0,60,24.0,6.09,40337.0
1,1,21,1,1,1.0,60,21.0,7.35,44496.0
2,1,21,1,1,1.0,60,24.0,7.19,39320.0
2,2,21,1,1,1.0,60,22.0,5.29,43558.0
1,1,22,1,1,1.0,60,22.0,5.2,43866.0
2,1,22,1,1,1.0,60,23.0,7.75,40713.0
2,2,22,1,1,1.0,60,23.0,7.73,40639.0
1,1,23,1,1,1.0,60,19.0,6.12,49243.0
2,1,23,1,1,1.0,60,24.0,5.31,40132.0
2,2,23,1,1,1.0,60,23.0,7.22,40978.0
1,1,24,1,1,1.0,60,20.0,5.38,47658.0
2,1,24,1,1,1.0,60,23.0,7.35,40814.0
2,2,24,1,1,1.0,60,23.0,6.12,41561.0
1,1,25,1,1,1.0,60,20.0,5.13,47625.0
2,1,25,1,1,1.0,60,23.0,6.65,41311.0
2,2,25,1,1,1.0,60,24.0,6.14,39975.0
1,1,1,1,2,1.0,60,22.0,6.22,87776.0
