nrClients,clientIndex,rep,threads,concurrency,avg,std,tps
1,0,1,1,1,10,6.03,89421
2,0,1,1,1,12,5.23,80526
2,1,1,1,1,12,6.31,80502
1,0,2,1,1,9,4.98,96706
2,0,2,1,1,12,5.05,81230
2,1,2,1,1,11,6.82,81214
1,0,3,1,1,9,5.09,96290
2,0,3,1,1,12,5.49,80422
2,1,3,1,1,12,5.21,80425
1,0,4,1,1,10,6.07,88441
2,0,4,1,1,11,6.75,82319
2,1,4,1,1,11,6.41,82308
1,0,5,1,1,10,5.65,89730
2,0,5,1,1,11,8.25,85607
2,1,5,1,1,11,6.95,85624
1,0,1,1,2,7,1.73,275112
2,0,1,1,2,16,8.13,116626
2,1,1,1,2,16,8.69,116833
1,0,2,1,2,7,2.95,258197
2,0,2,1,2,15,8.14,123112
2,1,2,1,2,16,7.91,117149
1,0,3,1,2,6,3.82,278584
2,0,3,1,2,16,7.05,119481
2,1,3,1,2,16,7.59,118884
1,0,4,1,2,6,3.73,278813
2,0,4,1,2,15,7.93,123214
2,1,4,1,2,15,6.7,126113
1,0,5,1,2,6,3.13,289616
2,0,5,1,2,15,7.36,124103
2,1,5,1,2,15,7.1,124894
1,0,1,1,4,12,3.54,316350
2,0,1,1,4,33,15.5,119412
2,1,1,1,4,32,14.85,122132
1,0,2,1,4,12,4.0,313755
2,0,2,1,4,32,16.76,122161
2,1,2,1,4,32,17.55,120403
1,0,3,1,4,12,4.33,312155
2,0,3,1,4,33,16.98,116703
2,1,3,1,4,34,17.37,115124
1,0,4,1,4,12,4.76,308042
2,0,4,1,4,32,16.54,122039
2,1,4,1,4,31,16.92,124885
1,0,5,1,4,12,3.52,315322
2,0,5,1,4,32,16.33,122671
2,1,5,1,4,32,18.18,120385
1,0,1,1,8,23,4.75,340518
2,0,1,1,8,62,24.66,127447
2,1,1,1,8,63,22.47,126351
1,0,2,1,8,23,8.5,331466
2,0,2,1,8,61,27.19,128908
2,1,2,1,8,60,22.34,131396
1,0,3,1,8,24,8.37,328365
2,0,3,1,8,60,21.91,131186
2,1,3,1,8,61,25.79,129544
1,0,4,1,8,23,10.04,330540
2,0,4,1,8,59,22.24,133476
2,1,4,1,8,63,26.75,126152
1,0,5,1,8,23,6.91,338141
2,0,5,1,8,62,27.72,127338
2,1,5,1,8,61,25.03,128382
1,0,1,1,16,45,12.65,351264
2,0,1,1,16,113,31.65,140067
2,1,1,1,16,116,35.75,136845
1,0,2,1,16,46,9.8,345280
2,0,2,1,16,119,33.51,133779
2,1,2,1,16,122,40.03,130321
1,0,3,1,16,45,9.43,349351
2,0,3,1,16,115,39.88,137891
2,1,3,1,16,116,37.56,137076
1,0,4,1,16,45,6.86,351617
2,0,4,1,16,121,42.34,131025
2,1,4,1,16,119,42.37,133200
1,0,5,1,16,47,17.91,335982
2,0,5,1,16,112,35.34,142169
2,1,5,1,16,116,39.5,137262
1,0,1,1,32,88,37.89,360816
2,0,1,1,32,237,69.85,134785
2,1,1,1,32,235,70.95,135607
1,0,2,1,32,90,34.39,354008
2,0,2,1,32,234,59.48,136333
2,1,2,1,32,234,65.0,136213
1,0,3,1,32,88,26.97,359569
2,0,3,1,32,235,44.41,135722
2,1,3,1,32,240,61.07,132647
1,0,4,1,32,88,29.5,359661
2,0,4,1,32,238,55.54,134076
2,1,4,1,32,242,72.21,131602
1,0,5,1,32,91,33.97,350304
2,0,5,1,32,244,68.05,130620
2,1,5,1,32,243,66.17,131410
1,0,1,1,64,188,52.4,339788
2,0,1,1,64,439,130.58,145441
2,1,1,1,64,455,138.81,140494
1,0,2,1,64,173,60.3,368829
2,0,2,1,64,472,124.08,135311
2,1,2,1,64,474,112.59,134818
1,0,3,1,64,174,56.7,366464
2,0,3,1,64,465,80.33,137264
2,1,3,1,64,463,80.15,137887
1,0,4,1,64,180,65.09,353956
2,0,4,1,64,494,129.91,129272
2,1,4,1,64,494,119.82,129470
1,0,5,1,64,176,50.12,362666
2,0,5,1,64,433,140.74,147666
2,1,5,1,64,423,139.4,151107
