Kind,ReceivedTime,ParsedTime,EnqueuedTime,DequeuedTime,AskedTime,RepliedTime,RespondedTime
write,2046619179100,2046638231000,2046641331700,2046641374300,2046647200400,2046648746000,2046648833800
read,2046655631900,2046655709800,2046655759600,2046655829500,2046656069400,2046657612200,2046658090200
read,2048165456900,2048165459700,2048165471000,2048165481800,2048165497400,2048165861400,2048165876800
read,2049530077200,2049530079900,2049530090500,2049530102500,2049530116100,2049531328300,2049531345400
read,2050894109500,2050894115100,2050894137200,2050894155700,2050894184100,2050894640900,2050894653800
read,2052219028500,2052219031100,2052219041700,2052219051100,2052219063500,2052219845900,2052219857400
read,2053481971100,2053481973800,2053481987800,2053482016900,2053482032400,2053482422200,2053482437200
read,2054827418100,2054827420100,2054827429800,2054827438400,2054827449700,2054827902900,2054827913300
read,2056041258000,2056041262100,2056041280300,2056041298600,2056041322000,2056041755200,2056041766100
read,2057245980300,2057245982200,2057245991500,2057246002600,2057246013900,2057246652400,2057246671900
read,2058486948700,2058486950600,2058486959200,2058486967900,2058486977500,2058487358900,2058487372100
read,2059769013400,2059769015200,2059769020100,2059769042100,2059769055400,2059769504800,2059769528900
read,2061044227800,2061044229700,2061044238700,2061044248300,2061044259700,2061044604000,2061044613900
read,2062399583500,2062399585300,2062399594000,2062399603300,2062399614100,2062400337700,2062400347500
read,2063711650000,2063711652000,2063711660900,2063711669800,2063711680500,2063712425000,2063712435400
read,2065097581000,2065097585000,2065097603700,2065097628200,2065097640300,2065098349900,2065098371500
read,2066401283400,2066401285300,2066401294400,2066401303900,2066401315600,2066402771300,2066402781900
read,2067712217900,2067712219800,2067712228600,2067712248800,2067712260200,2067712588100,2067712594700
read,2068953748500,2068953750500,2068953759600,2068953769000,2068953780600,2068954139700,2068954150200
read,2070168527100,2070168528800,2070168540700,2070168545900,2070168554700,2070169197200,2070169208000
write,2071329908800,2071329911700,2071329922500,2071329940100,2071329957700,2071330283100,2071330291800
read,2071331040400,2071331042300,2071331045900,2071331065000,2071331076300,2071331924000,2071331934500
read,2072683725700,2072683727500,2072683736100,2072683745400,2072683755800,2072684135500,2072684145300
read,2074054584200,2074054586300,2074054595500,2074054603700,2074054612700,2074054896600,2074054914900
read,2075351755800,2075351757800,2075351766900,2075351776400,2075351787800,2075352214800,2075352224700
read,2076646972000,2076646976000,2076646995000,2076647013800,2076647036700,2076647425200,2076647435800
read,2077956276200,2077956278100,2077956291300,2077956300300,2077956309800,2077956658100,2077956677900
read,2079260086900,2079260088700,2079260097200,2079260106400,2079260117600,2079260500300,2079260510500
read,2080570602400,2080570604300,2080570613500,2080570633300,2080570642500,2080571016300,2080571026200
read,2081926188200,2081926190100,2081926199200,2081926209200,2081926220700,2081926574900,2081926581800
read,2083195543400,2083195545300,2083195554300,2083195563400,2083195574800,2083196528000,2083196538600
read,2084494951000,2084494952800,2084494961600,2084494970300,2084494980800,2084495449000,2084495458800
read,2085694020800,2085694022600,2085694038000,2085694040700,2085694058900,2085694514900,2085694522300
read,2087015440000,2087015441900,2087015450500,2087015459700,2087015470700,2087017679600,2087017690500
read,2088310891400,2088310893400,2088310902500,2088310911800,2088310922000,2088311461300,2088311471600
read,2089661989200,2089661993400,2089662012400,2089662029900,2089662052400,2089662339900,2089662346000
read,2090958515900,2090958517700,2090958526500,2090958534300,2090958543700,2090958908200,2090958918900
read,2092280361500,2092280363200,2092280372000,2092280381100,2092280392100,2092280806800,2092280817400
read,2093615019600,2093615021500,2093615030600,2093615040000,2093615051500,2093615413800,2093615424100
read,2094950977900,2094950979700,2094950988900,2094950998500,2094951009800,2094951486800,2094951497500
write,2096298641400,2096298644200,2096298680700,2096298657500,2096298674800,2096300639000,2096300652400
read,2096301252400,2096301254200,2096301263700,2096301273800,2096301285200,2096301674200,2096301681100
read,2097581864100,2097581866000,2097581875100,2097581908200,2097581923900,2097582441000,2097582450600
read,2098817206600,2098817208400,2098817217100,2098817226100,2098817236900,2098817503600,2098817511700
read,2100054466700,2100054468400,2100054477300,2100054486100,2100054497300,2100055430100,2100055440500
read,2101278272200,2101278274100,2101278283100,2101278292600,2101278304200,2101278803600,2101278810600
read,2102440356600,2102440358400,2102440367400,2102440376800,2102440387900,2102440672800,2102440683800
read,2103768110900,2103768112700,2103768126700,2103768136300,2103768147400,2103768646300,2103768667700
read,2105083619500,2105083621400,2105083630200,2105083636900,2105083644500,2105084031200,2105084037100
read,2106390956800,2106390958600,2106390967100,2106390976300,2106390987100,2106394082000,2106394103500
read,2107738071000,2107738072700,2107738081200,2107738089800,2107738100600,2107739106500,2107739127700
read,2109068677600,2109068679500,2109068688800,2109068698500,2109068709900,2109069424800,2109069772500
read,2110454337200,2110454339100,2110454348300,2110454357600,2110454369200,2110454714000,2110454721200
read,2111795897300,2111795899200,2111795908100,2111795917700,2111795929300,2111796313400,2111796327500
read,2113004986800,2113004988600,2113004997500,2113005007000,2113005018200,2113005788000,2113005797300
read,2114228514800,2114228518800,2114228537200,2114228555800,2114228578500,2114229607900,2114229618600
read,2115407080100,2115407081800,2115407089700,2115407098400,2115407108600,2115407570400,2115407577100
read,2116634793600,2116634795500,2116634804600,2116634813300,2116634824400,2116636296500,2116636306300
read,2117950208900,2117950210700,2117950219800,2117950228500,2117950239900,2117950674200,2117950683400
read,2119238867400,2119238869200,2119238878000,2119238886400,2119238897400,2119239368800,2119239379500
write,2120571648000,2120571897600,2120571925900,2120571961800,2120571980300,2120572433600,2120572455600
read,2120573536600,2120573538400,2120573547700,2120573567900,2120573579800,2120574040700,2120574050800
read,2121854170700,2121854172600,2121854181800,2121854191300,2121854203800,2121855084600,2121855095100
read,2123193895300,2123193897300,2123193906100,2123193915400,2123193926700,2123195584500,2123195596700
read,2124533919800,2124533921800,2124533930900,2124533939700,2124533951000,2124534603200,2124534613400
read,2125851213300,2125851215300,2125851224500,2125851232300,2125851242100,2125851597000,2125851602800
read,2127244584800,2127244586700,2127244595400,2127244604500,2127244626400,2127245200600,2127245210700
read,2128538903100,2128538905100,2128538914300,2128538921800,2128538930500,2128539616400,2128539625800
read,2129819419400,2129819421200,2129819429800,2129819438600,2129819449000,2129819923600,2129819933900
read,2131010129800,2131010131600,2131010140500,2131010149600,2131010160700,2131010566700,2131010576900
read,2132327465000,2132327466600,2132327474600,2132327481900,2132327491000,2132327960900,2132327970600
read,2133674305500,2133674307400,2133674316400,2133674325600,2133674337300,2133674675000,2133674705400
read,2135032682900,2135032684700,2135032693800,2135032702400,2135032713100,2135033667800,2135033678200
read,2136327950000,2136327951800,2136327960500,2136327969100,2136327981900,2136328279400,2136328285500
read,2137597237700,2137597239600,2137597248600,2137597258000,2137597269100,2137597749400,2137597759900
read,2138934643000,2138934644800,2138934652700,2138934660600,2138934670500,2138935358200,2138935379700
read,2140251744400,2140251746300,2140251755300,2140251764600,2140251775900,2140252134200,2140252144500
read,2141512406800,2141512408700,2141512417300,2141512424700,2141512433900,2141513168300,2141513184000
read,2142750827400,2142750829300,2142750838500,2142750857500,2142750865700,2142751966900,2142751988200
read,2143923582400,2143923586500,2143923605500,2143923624100,2143923647100,2143923975000,2143923982200
write,2145090347100,2145090349500,2145090380400,2145090359700,2145090375400,2145091748700,2145091761100
