nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
1,1,1,1,1,0.9,2,20.0,9.11,46968.0
2,1,1,1,1,0.9,2,17.0,5.42,54779.0
2,2,1,1,1,0.9,2,17.0,5.58,54784.0
1,1,2,1,1,0.9,2,26.0,14.12,37356.0
2,1,2,1,1,0.9,2,18.0,19.91,52827.0
2,2,2,1,1,0.9,2,18.0,18.54,52764.0
1,1,1,1,2,0.9,2,16.0,5.7,118391.0
2,1,1,1,2,0.9,2,31.0,12.0,63025.0
2,2,1,1,2,0.9,2,34.0,13.04,57475.0
1,1,2,1,2,0.9,2,17.0,6.61,110581.0
2,1,2,1,2,0.9,2,33.0,14.06,58515.0
2,2,2,1,2,0.9,2,32.0,20.48,60010.0
